iso_code;year;fuel;production
AZE;2000;biofuel;0.0
AZE;2001;biofuel;0.0
AZE;2002;biofuel;0.0
AZE;2003;biofuel;0.0
AZE;2004;biofuel;0.0
AZE;2005;biofuel;0.0
AZE;2006;biofuel;0.0
AZE;2007;biofuel;0.0
AZE;2008;biofuel;0.0
AZE;2009;biofuel;0.0
AZE;2010;biofuel;0.0
AZE;2011;biofuel;0.0
AZE;2012;biofuel;0.0
AZE;2013;biofuel;0.0
AZE;2014;biofuel;0.0
AZE;2015;biofuel;0.0
AZE;2016;biofuel;0.0
AZE;2017;biofuel;0.0
AZE;2018;biofuel;0.0
AZE;2019;biofuel;0.0
AZE;2020;biofuel;0.0
AZE;2021;biofuel;0.0
BHS;2000;biofuel;0.0
BHS;2001;biofuel;0.0
BHS;2002;biofuel;0.0
BHS;2003;biofuel;0.0
BHS;2004;biofuel;0.0
BHS;2005;biofuel;0.0
BHS;2006;biofuel;0.0
BHS;2007;biofuel;0.0
BHS;2008;biofuel;0.0
BHS;2009;biofuel;0.0
BHS;2010;biofuel;0.0
BHS;2011;biofuel;0.0
BHS;2012;biofuel;0.0
BHS;2013;biofuel;0.0
BHS;2014;biofuel;0.0
BHS;2015;biofuel;0.0
BHS;2016;biofuel;0.0
BHS;2017;biofuel;0.0
BHS;2018;biofuel;0.0
BHS;2019;biofuel;0.0
BHS;2020;biofuel;0.0
BHR;2000;biofuel;0.0
BHR;2001;biofuel;0.0
BHR;2002;biofuel;0.0
BHR;2003;biofuel;0.0
BHR;2004;biofuel;0.0
BHR;2005;biofuel;0.0
BHR;2006;biofuel;0.0
BHR;2007;biofuel;0.0
BHR;2008;biofuel;0.0
BHR;2009;biofuel;0.0
BHR;2010;biofuel;0.0
BHR;2011;biofuel;0.0
BHR;2012;biofuel;0.0
BHR;2013;biofuel;0.0
BHR;2014;biofuel;0.0
BHR;2015;biofuel;0.0
BHR;2016;biofuel;0.0
BHR;2017;biofuel;0.0
BHR;2018;biofuel;0.0
BHR;2019;biofuel;0.0
BHR;2020;biofuel;0.0
BHR;2021;biofuel;
BGD;2000;biofuel;0.0
BGD;2001;biofuel;0.0
BGD;2002;biofuel;0.0
BGD;2003;biofuel;0.0
BGD;2004;biofuel;0.0
BGD;2005;biofuel;0.0
BGD;2006;biofuel;0.0
BGD;2007;biofuel;0.0
BGD;2008;biofuel;0.0
BGD;2009;biofuel;0.0
BGD;2010;biofuel;0.01
BGD;2011;biofuel;0.01
BGD;2012;biofuel;0.02
BGD;2013;biofuel;0.02
BGD;2014;biofuel;0.03
BGD;2015;biofuel;0.03
BGD;2016;biofuel;0.03
BGD;2017;biofuel;0.03
BGD;2018;biofuel;0.03
BGD;2019;biofuel;0.03
BGD;2020;biofuel;0.03
BGD;2021;biofuel;0.03
BRB;2000;biofuel;0.0
BRB;2001;biofuel;0.0
BRB;2002;biofuel;0.0
BRB;2003;biofuel;0.0
BRB;2004;biofuel;0.0
BRB;2005;biofuel;0.0
BRB;2006;biofuel;0.0
BRB;2007;biofuel;0.0
BRB;2008;biofuel;0.0
BRB;2009;biofuel;0.0
BRB;2010;biofuel;0.0
BRB;2011;biofuel;0.0
BRB;2012;biofuel;0.0
BRB;2013;biofuel;0.0
BRB;2014;biofuel;0.0
BRB;2015;biofuel;0.0
BRB;2016;biofuel;0.0
BRB;2017;biofuel;0.0
BRB;2018;biofuel;0.0
BRB;2019;biofuel;0.0
BRB;2020;biofuel;0.0
BLR;2000;biofuel;0.0
BLR;2001;biofuel;0.0
BLR;2002;biofuel;0.0
BLR;2003;biofuel;0.0
BLR;2004;biofuel;0.0
BLR;2005;biofuel;0.0
BLR;2006;biofuel;0.02
BLR;2007;biofuel;0.03
BLR;2008;biofuel;0.07
BLR;2009;biofuel;0.06
BLR;2010;biofuel;0.07
BLR;2011;biofuel;0.08
BLR;2012;biofuel;0.07
BLR;2013;biofuel;0.14
BLR;2014;biofuel;0.14
BLR;2015;biofuel;0.13
BLR;2016;biofuel;0.15
BLR;2017;biofuel;0.15
BLR;2018;biofuel;0.21
BLR;2019;biofuel;0.23
BLR;2020;biofuel;0.51
BLR;2021;biofuel;0.52
BEL;2000;biofuel;0.57
BEL;2001;biofuel;0.6
BEL;2002;biofuel;0.72
BEL;2003;biofuel;0.86
BEL;2004;biofuel;1.04
BEL;2005;biofuel;1.59
BEL;2006;biofuel;2.23
BEL;2007;biofuel;2.6
BEL;2008;biofuel;3.33
BEL;2009;biofuel;3.95
BEL;2010;biofuel;4.38
BEL;2011;biofuel;4.63
BEL;2012;biofuel;5.24
BEL;2013;biofuel;5.03
BEL;2014;biofuel;4.46
BEL;2015;biofuel;5.55
BEL;2016;biofuel;5.44
BEL;2017;biofuel;5.77
BEL;2018;biofuel;5.46
BEL;2019;biofuel;5.23
BEL;2020;biofuel;5.24
BEL;2021;biofuel;5.05
BLZ;2000;biofuel;0.01
BLZ;2001;biofuel;0.01
BLZ;2002;biofuel;0.01
BLZ;2003;biofuel;0.01
BLZ;2004;biofuel;0.01
BLZ;2005;biofuel;0.01
BLZ;2006;biofuel;0.01
BLZ;2007;biofuel;0.01
BLZ;2008;biofuel;0.0
BLZ;2009;biofuel;0.02
BLZ;2010;biofuel;0.06
BLZ;2011;biofuel;0.05
BLZ;2012;biofuel;0.07
BLZ;2013;biofuel;0.05
BLZ;2014;biofuel;0.07
BLZ;2015;biofuel;0.08
BLZ;2016;biofuel;0.1
BLZ;2017;biofuel;0.2
BLZ;2018;biofuel;0.22
BLZ;2019;biofuel;0.17
BLZ;2020;biofuel;0.16
BEN;2000;biofuel;0.0
BEN;2001;biofuel;0.0
BEN;2002;biofuel;0.0
BEN;2003;biofuel;0.0
BEN;2004;biofuel;0.0
BEN;2005;biofuel;0.0
BEN;2006;biofuel;0.0
BEN;2007;biofuel;0.0
BEN;2008;biofuel;0.0
BEN;2009;biofuel;0.0
BEN;2010;biofuel;0.0
BEN;2011;biofuel;0.0
BEN;2012;biofuel;0.0
BEN;2013;biofuel;0.0
BEN;2014;biofuel;0.0
BEN;2015;biofuel;0.0
BEN;2016;biofuel;0.0
BEN;2017;biofuel;0.0
BEN;2018;biofuel;0.0
BEN;2019;biofuel;0.0
BEN;2020;biofuel;0.0
BTN;2000;biofuel;0.0
BTN;2001;biofuel;0.0
BTN;2002;biofuel;0.0
BTN;2003;biofuel;0.0
